"Plot Title: 2022_3_21"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °F (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Sensor Data Error (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Host Connected (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
40,03/21/22 11:53:42 AM,14.49,81.68,,,,,,
41,03/21/22 11:54:42 AM,14.66,82.11,,,,,,
42,03/21/22 11:55:42 AM,9.18,82.40,,,,,,
43,03/21/22 11:56:42 AM,8.98,82.58,,,,,,
44,03/21/22 11:57:42 AM,8.46,82.76,,,,,,
45,03/21/22 11:58:42 AM,9.31,82.51,,,,,,
46,03/21/22 11:59:42 AM,8.37,82.33,,,,,,
47,03/21/22 12:00:42 PM,8.73,82.11,,,,,,
48,03/21/22 12:01:42 PM,8.81,82.04,,,,,,
49,03/21/22 12:02:42 PM,8.78,82.00,,,,,,
50,03/21/22 12:03:42 PM,8.92,81.97,,,,,,
51,03/21/22 12:04:42 PM,8.93,81.82,,,,,,
52,03/21/22 12:05:42 PM,9.09,81.90,,,,,,
53,03/21/22 12:06:42 PM,8.81,82.00,,,,,,
54,03/21/22 12:07:42 PM,8.63,81.97,,,,,,
55,03/21/22 12:08:42 PM,8.58,81.97,,,,,,
56,03/21/22 12:09:42 PM,8.68,81.97,,,,,,
57,03/21/22 12:10:42 PM,8.65,81.97,,,,,,
58,03/21/22 12:11:42 PM,8.65,81.97,,,,,,
59,03/21/22 12:12:42 PM,8.63,81.93,,,,,,
60,03/21/22 12:13:42 PM,8.54,81.90,,,,,,
61,03/21/22 12:14:42 PM,8.56,81.86,,,,,,
62,03/21/22 12:15:42 PM,8.50,81.82,,,,,,
63,03/21/22 12:16:42 PM,8.55,81.79,,,,,,
64,03/21/22 12:17:42 PM,9.41,81.86,,,,,,
65,03/21/22 12:18:42 PM,9.22,82.04,,,,,,
66,03/21/22 12:19:42 PM,9.34,82.04,,,,,,
67,03/21/22 12:20:42 PM,9.31,82.08,,,,,,
68,03/21/22 12:21:42 PM,9.31,82.08,,,,,,
69,03/21/22 12:22:42 PM,9.67,82.15,,,,,,
70,03/21/22 12:23:42 PM,9.92,82.18,,,,,,
71,03/21/22 12:24:42 PM,9.85,82.22,,,,,,
72,03/21/22 12:25:42 PM,9.71,82.26,,,,,,
73,03/21/22 12:26:42 PM,9.68,82.29,,,,,,
74,03/21/22 12:27:42 PM,9.66,82.36,,,,,,
75,03/21/22 12:28:42 PM,9.67,82.40,,,,,,
76,03/21/22 12:29:42 PM,9.73,82.44,,,,,,
77,03/21/22 12:30:42 PM,9.84,82.47,,,,,,
78,03/21/22 12:31:42 PM,9.84,82.51,,,,,,
79,03/21/22 12:32:42 PM,9.82,82.54,,,,,,
80,03/21/22 12:33:42 PM,9.88,82.58,,,,,,
81,03/21/22 12:34:42 PM,10.00,82.62,,,,,,
82,03/21/22 12:35:42 PM,9.97,82.62,,,,,,
83,03/21/22 12:36:42 PM,10.13,82.65,,,,,,
84,03/21/22 12:37:42 PM,10.59,82.69,,,,,,
85,03/21/22 12:38:42 PM,10.71,82.72,,,,,,
86,03/21/22 12:39:42 PM,10.77,82.72,,,,,,
87,03/21/22 12:40:42 PM,11.02,82.76,,,,,,
88,03/21/22 12:41:42 PM,10.95,82.80,,,,,,
89,03/21/22 12:42:42 PM,11.03,82.83,,,,,,
90,03/21/22 12:43:42 PM,11.55,82.87,,,,,,
91,03/21/22 12:44:42 PM,11.55,82.90,,,,,,
92,03/21/22 12:45:42 PM,11.39,82.90,,,,,,
93,03/21/22 12:46:42 PM,11.19,82.87,,,,,,
94,03/21/22 12:47:42 PM,10.90,82.87,,,,,,
95,03/21/22 12:48:42 PM,10.66,82.83,,,,,,
96,03/21/22 12:49:42 PM,10.54,82.83,,,,,,
97,03/21/22 12:50:42 PM,10.47,82.80,,,,,,
98,03/21/22 12:51:42 PM,10.43,82.80,,,,,,
99,03/21/22 12:52:42 PM,10.35,82.80,,,,,,
100,03/21/22 12:53:42 PM,10.23,82.80,,,,,,
101,03/21/22 12:54:42 PM,10.20,82.80,,,,,,
102,03/21/22 12:55:42 PM,10.16,82.80,,,,,,
103,03/21/22 12:56:42 PM,10.19,82.76,,,,,,
104,03/21/22 12:57:42 PM,10.16,82.76,,,,,,
105,03/21/22 12:58:42 PM,10.12,82.76,,,,,,
106,03/21/22 12:59:42 PM,10.86,82.87,,,,,,
107,03/21/22 01:00:42 PM,10.81,83.16,,,,,,
108,03/21/22 01:01:42 PM,10.65,83.34,,,,,,
109,03/21/22 01:02:42 PM,10.48,83.52,,,,,,
110,03/21/22 01:03:42 PM,10.48,83.70,,,,,,
111,03/21/22 01:04:42 PM,10.48,83.84,,,,,,
112,03/21/22 01:05:42 PM,10.50,83.95,,,,,,
113,03/21/22 01:06:42 PM,10.55,84.06,,,,,,
114,03/21/22 01:07:42 PM,10.62,84.16,,,,,,
115,03/21/22 01:08:42 PM,10.71,84.24,,,,,,
116,03/21/22 01:09:42 PM,10.68,84.27,,,,,,
117,03/21/22 01:10:42 PM,10.68,84.31,,,,,,
118,03/21/22 01:11:42 PM,10.72,84.34,,,,,,
119,03/21/22 01:12:42 PM,10.86,84.38,,,,,,
120,03/21/22 01:13:42 PM,10.77,84.45,,,,,,
121,03/21/22 01:14:42 PM,11.61,84.45,,,,,,
122,03/21/22 01:15:42 PM,12.08,84.49,,,,,,
123,03/21/22 01:16:42 PM,11.95,84.52,,,,,,
124,03/21/22 01:17:42 PM,11.29,84.52,,,,,,
125,03/21/22 01:18:42 PM,10.93,84.49,,,,,,
126,03/21/22 01:19:42 PM,10.95,84.52,,,,,,
127,03/21/22 01:20:42 PM,10.90,84.52,,,,,,
128,03/21/22 01:21:42 PM,11.81,84.56,,,,,,
129,03/21/22 01:22:42 PM,11.49,84.52,,,,,,
130,03/21/22 01:23:42 PM,11.37,84.49,,,,,,
131,03/21/22 01:24:42 PM,11.31,84.45,,,,,,
132,03/21/22 01:25:42 PM,11.32,84.42,,,,,,
133,03/21/22 01:26:42 PM,11.35,84.38,,,,,,
134,03/21/22 01:27:42 PM,11.37,84.38,,,,,,
135,03/21/22 01:28:42 PM,11.38,84.34,,,,,,
136,03/21/22 01:29:42 PM,11.38,84.31,,,,,,
137,03/21/22 01:30:42 PM,11.40,84.27,,,,,,
138,03/21/22 01:31:42 PM,11.42,84.27,,,,,,
139,03/21/22 01:32:42 PM,11.39,84.27,,,,,,
140,03/21/22 01:33:42 PM,11.43,84.24,,,,,,
141,03/21/22 01:34:42 PM,11.40,84.24,,,,,,
142,03/21/22 01:35:42 PM,11.35,84.24,,,,,,
143,03/21/22 01:36:42 PM,11.27,84.24,,,,,,
144,03/21/22 01:37:42 PM,11.40,84.24,,,,,,
145,03/21/22 01:38:42 PM,11.38,84.24,,,,,,
146,03/21/22 01:39:42 PM,11.35,84.20,,,,,,
147,03/21/22 01:40:42 PM,11.36,84.20,,,,,,
148,03/21/22 01:41:42 PM,11.31,84.20,,,,,,
149,03/21/22 01:42:42 PM,11.28,84.20,,,,,,
150,03/21/22 01:43:42 PM,11.28,84.20,,,,,,
151,03/21/22 01:44:42 PM,11.27,84.20,,,,,,
152,03/21/22 01:45:42 PM,11.27,84.20,,,,,,
153,03/21/22 01:46:42 PM,11.25,84.20,,,,,,
154,03/21/22 01:47:42 PM,12.01,84.24,,,,,,
155,03/21/22 01:48:42 PM,12.61,84.38,,,,,,
156,03/21/22 01:49:42 PM,12.62,84.42,,,,,,
157,03/21/22 01:50:42 PM,12.78,84.49,,,,,,
158,03/21/22 01:51:42 PM,12.78,84.45,,,,,,
159,03/21/22 01:52:42 PM,12.72,84.42,,,,,,
160,03/21/22 01:53:42 PM,12.75,84.38,,,,,,
161,03/21/22 01:54:42 PM,12.71,84.38,,,,,,
162,03/21/22 01:55:42 PM,12.80,84.42,,,,,,
163,03/21/22 01:56:42 PM,-888.88,-888.88,,Logged,,,,
164,03/21/22 01:57:42 PM,13.08,84.52,,,,,,
165,03/21/22 01:58:42 PM,-888.88,-888.88,,Logged,,,,
166,03/21/22 01:59:42 PM,13.29,84.63,,,,,,
167,03/21/22 02:00:42 PM,13.38,84.67,,,,,,
168,03/21/22 02:01:42 PM,13.60,84.70,,,,,,
169,03/21/22 02:02:42 PM,13.90,84.70,,,,,,
170,03/21/22 02:03:42 PM,13.97,84.74,,,,,,
171,03/21/22 02:04:42 PM,13.94,84.70,,,,,,
172,03/21/22 02:05:42 PM,13.96,84.70,,,,,,
173,03/21/22 02:06:42 PM,13.99,84.70,,,,,,
174,03/21/22 02:07:42 PM,14.07,84.67,,,,,,
175,03/21/22 02:08:42 PM,14.01,84.67,,,,,,
176,03/21/22 02:09:42 PM,-888.88,-888.88,,Logged,,,,
177,03/21/22 02:10:42 PM,14.03,84.67,,,,,,
178,03/21/22 02:11:42 PM,14.17,84.63,,,,,,
179,03/21/22 02:12:42 PM,14.26,84.60,,,,,,
180,03/21/22 02:13:42 PM,13.98,84.56,,,,,,
181,03/21/22 02:14:42 PM,13.59,84.52,,,,,,
182,03/21/22 02:15:42 PM,13.69,84.45,,,,,,
183,03/21/22 02:16:42 PM,13.38,84.42,,,,,,
184,03/21/22 02:17:42 PM,13.31,84.38,,,,,,
185,03/21/22 02:18:42 PM,13.12,84.38,,,,,,
186,03/21/22 02:19:42 PM,13.04,84.34,,,,,,
187,03/21/22 02:20:42 PM,12.88,84.31,,,,,,
188,03/21/22 02:21:42 PM,12.47,84.27,,,,,,
189,03/21/22 02:22:42 PM,12.37,84.27,,,,,,
190,03/21/22 02:23:42 PM,12.09,84.24,,,,,,
191,03/21/22 02:24:42 PM,11.94,84.24,,,,,,
192,03/21/22 02:25:42 PM,11.69,84.20,,,,,,
193,03/21/22 02:26:42 PM,11.70,84.20,,,,,,
194,03/21/22 02:27:42 PM,11.63,84.16,,,,,,
195,03/21/22 02:28:42 PM,11.34,84.16,,,,,,
196,03/21/22 02:29:42 PM,11.38,84.16,,,,,,
197,03/21/22 02:30:42 PM,11.65,84.13,,,,,,
198,03/21/22 02:31:42 PM,11.04,83.95,,,,,,
199,03/21/22 02:32:42 PM,11.14,83.84,,,,,,
200,03/21/22 02:33:42 PM,11.08,83.77,,,,,,
201,03/21/22 02:34:42 PM,11.03,83.73,,,,,,
202,03/21/22 02:35:42 PM,11.03,83.77,,,,,,
203,03/21/22 02:36:42 PM,11.02,83.77,,,,,,
204,03/21/22 02:37:42 PM,11.07,83.80,,,,,,
205,03/21/22 02:38:42 PM,11.11,83.84,,,,,,
206,03/21/22 02:39:42 PM,11.15,83.84,,,,,,
207,03/21/22 02:40:42 PM,11.17,83.84,,,,,,
208,03/21/22 02:41:42 PM,11.19,83.84,,,,,,
209,03/21/22 02:42:42 PM,11.09,83.80,,,,,,
210,03/21/22 02:43:42 PM,11.15,83.80,,,,,,
211,03/21/22 02:44:42 PM,11.21,83.77,,,,,,
212,03/21/22 02:45:42 PM,11.23,83.77,,,,,,
213,03/21/22 02:46:42 PM,11.21,83.77,,,,,,
214,03/21/22 02:47:42 PM,11.28,83.77,,,,,,
215,03/21/22 02:48:42 PM,11.36,83.73,,,,,,
216,03/21/22 02:49:42 PM,11.32,83.73,,,,,,
217,03/21/22 02:50:42 PM,11.29,83.66,,,,,,
218,03/21/22 02:51:42 PM,11.21,83.62,,,,,,
219,03/21/22 02:52:42 PM,11.21,83.59,,,,,,
220,03/21/22 02:53:42 PM,11.26,83.55,,,,,,
221,03/21/22 02:54:42 PM,11.29,83.52,,,,,,
222,03/21/22 02:55:42 PM,11.24,83.48,,,,,,
223,03/21/22 02:56:42 PM,11.22,83.48,,,,,,
224,03/21/22 02:57:42 PM,11.17,83.44,,,,,,
225,03/21/22 02:58:42 PM,11.10,83.44,,,,,,
226,03/21/22 02:59:42 PM,11.06,83.41,,,,,,
227,03/21/22 03:00:42 PM,10.54,83.37,,,,,,
228,03/21/22 03:01:42 PM,10.47,83.26,,,,,,
229,03/21/22 03:02:42 PM,10.47,83.16,,,,,,
230,03/21/22 03:03:42 PM,10.42,83.08,,,,,,
231,03/21/22 03:04:42 PM,10.38,83.01,,,,,,
232,03/21/22 03:05:42 PM,10.28,82.90,,,,,,
233,03/21/22 03:06:42 PM,10.25,82.83,,,,,,
234,03/21/22 03:07:42 PM,10.23,82.76,,,,,,
235,03/21/22 03:08:42 PM,10.25,82.69,,,,,,
236,03/21/22 03:09:42 PM,10.23,82.62,,,,,,
237,03/21/22 03:10:42 PM,10.22,82.54,,,,,,
238,03/21/22 03:11:42 PM,10.20,82.51,,,,,,
239,03/21/22 03:12:42 PM,10.26,82.44,,,,,,
240,03/21/22 03:13:42 PM,10.29,82.40,,,,,,
241,03/21/22 03:14:42 PM,10.31,82.36,,,,,,
242,03/21/22 03:15:42 PM,10.16,82.33,,,,,,
243,03/21/22 03:16:42 PM,10.31,82.33,,,,,,
244,03/21/22 03:17:42 PM,7.65,82.29,,,,,,
245,03/21/22 03:18:42 PM,7.66,81.97,,,,,,
246,03/21/22 03:19:42 PM,7.61,81.54,,,,,,
247,03/21/22 03:20:42 PM,7.65,81.18,,,,,,
248,03/21/22 03:21:42 PM,7.67,80.89,,,,,,
249,03/21/22 03:22:42 PM,7.70,80.64,,,,,,
250,03/21/22 03:23:42 PM,7.76,80.49,,,,,,
251,03/21/22 03:24:42 PM,7.75,80.38,,,,,,
252,03/21/22 03:25:42 PM,7.76,80.17,,,,,,
253,03/21/22 03:26:42 PM,7.77,79.92,,,,,,
254,03/21/22 03:27:42 PM,7.81,79.63,,,,,,
255,03/21/22 03:28:42 PM,7.81,79.34,,,,,,
256,03/21/22 03:29:42 PM,7.84,79.09,,,,,,
257,03/21/22 03:30:42 PM,7.91,78.84,,,,,,
258,03/21/22 03:31:42 PM,7.93,78.76,,,,,,
259,03/21/22 03:32:42 PM,7.92,78.69,,,,,,
260,03/21/22 03:33:42 PM,7.95,78.58,,,,,,
261,03/21/22 03:34:42 PM,7.95,78.55,,,,,,
262,03/21/22 03:35:42 PM,7.98,78.51,,,,,,
263,03/21/22 03:36:42 PM,7.97,78.51,,,,,,
264,03/21/22 03:37:42 PM,7.97,78.55,,,,,,
265,03/21/22 03:38:42 PM,7.99,78.55,,,,,,
266,03/21/22 03:39:42 PM,8.00,78.55,,,,,,
267,03/21/22 03:40:42 PM,8.02,78.58,,,,,,
268,03/21/22 03:41:42 PM,8.00,78.69,,,,,,
269,03/21/22 03:42:42 PM,8.02,78.73,,,,,,
270,03/21/22 03:43:42 PM,8.01,78.80,,,,,,
271,03/21/22 03:44:42 PM,8.01,78.84,,,,,,
272,03/21/22 03:45:42 PM,7.95,78.76,,,,,,
273,03/21/22 03:46:42 PM,8.00,78.62,,,,,,
274,03/21/22 03:47:42 PM,7.76,78.51,,,,,,
275,03/21/22 03:48:42 PM,7.85,77.90,,,,,,
276,03/21/22 03:49:42 PM,7.90,77.18,,,,,,
277,03/21/22 03:50:42 PM,7.93,76.64,,,,,,
278,03/21/22 03:51:42 PM,7.96,76.24,,,,,,
279,03/21/22 03:52:42 PM,7.96,75.88,,,,,,
280,03/21/22 03:53:42 PM,8.00,75.52,,,,,,
281,03/21/22 03:54:42 PM,8.06,75.20,,,,,,
282,03/21/22 03:55:42 PM,8.09,74.91,,,,,,
283,03/21/22 03:56:42 PM,8.12,74.59,,,,,,
284,03/21/22 03:57:42 PM,8.15,74.34,,,,,,
285,03/21/22 03:58:42 PM,8.18,74.08,,,,,,
286,03/21/22 03:59:42 PM,8.24,73.83,,,,,,
287,03/21/22 04:00:42 PM,8.27,73.58,,,,,,
288,03/21/22 04:01:42 PM,8.30,73.36,,,,,,
289,03/21/22 04:02:42 PM,8.36,73.15,,,,,,
290,03/21/22 04:03:42 PM,8.38,72.97,,,,,,
291,03/21/22 04:04:42 PM,8.40,72.75,,,,,,
292,03/21/22 04:05:42 PM,8.44,72.57,,,,,,
293,03/21/22 04:06:42 PM,8.47,72.43,,,,,,
294,03/21/22 04:07:42 PM,8.49,72.28,,,,,,
295,03/21/22 04:08:42 PM,8.52,72.10,,,,,,
296,03/21/22 04:09:42 PM,8.54,72.00,,,,,,
297,03/21/22 04:10:42 PM,8.58,71.85,,,,,,
298,03/21/22 04:11:42 PM,8.62,71.71,,,,,,
299,03/21/22 04:11:50 PM,,,,,Logged,,,
300,03/21/22 04:11:51 PM,,,,,,Logged,,
301,03/21/22 04:11:53 PM,,,,,,,Logged,Logged
