"Plot Title: 20211022"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 20676465, SEN S/N: 20676465)","Temp, °C (LGR S/N: 20676465, SEN S/N: 20676465)","Coupler Detached (LGR S/N: 20676465)","Coupler Attached (LGR S/N: 20676465)","Sensor Data Error (LGR S/N: 20676465)","Stopped (LGR S/N: 20676465)","End Of File (LGR S/N: 20676465)"
137,10/22/21 01:11:25 PM,11.76,27.00,,,,,
138,10/22/21 01:12:25 PM,11.82,27.02,,,,,
139,10/22/21 01:13:25 PM,11.83,27.00,,,,,
140,10/22/21 01:14:25 PM,11.87,27.00,,,,,
141,10/22/21 01:15:25 PM,11.89,27.00,,,,,
142,10/22/21 01:16:25 PM,11.87,27.02,,,,,
143,10/22/21 01:17:25 PM,11.93,27.02,,,,,
144,10/22/21 01:18:25 PM,11.93,27.04,,,,,
145,10/22/21 01:19:25 PM,11.97,27.04,,,,,
146,10/22/21 01:20:25 PM,12.02,27.06,,,,,
147,10/22/21 01:21:25 PM,12.03,27.06,,,,,
148,10/22/21 01:22:25 PM,12.07,27.08,,,,,
149,10/22/21 01:23:25 PM,12.08,27.08,,,,,
150,10/22/21 01:24:25 PM,12.15,27.06,,,,,
151,10/22/21 01:25:25 PM,12.17,27.04,,,,,
152,10/22/21 01:26:25 PM,12.17,27.04,,,,,
153,10/22/21 01:27:25 PM,12.17,27.02,,,,,
154,10/22/21 01:28:25 PM,12.13,27.02,,,,,
155,10/22/21 01:29:25 PM,12.10,27.00,,,,,
156,10/22/21 01:30:25 PM,12.10,27.00,,,,,
157,10/22/21 01:31:25 PM,12.05,27.00,,,,,
158,10/22/21 01:32:25 PM,12.01,27.00,,,,,
159,10/22/21 01:33:25 PM,11.99,27.00,,,,,
160,10/22/21 01:34:25 PM,11.95,27.00,,,,,
161,10/22/21 01:35:25 PM,11.89,27.00,,,,,
162,10/22/21 01:36:25 PM,11.87,26.98,,,,,
163,10/22/21 01:37:25 PM,11.92,26.98,,,,,
164,10/22/21 01:38:25 PM,11.79,26.98,,,,,
165,10/22/21 01:39:25 PM,11.82,26.98,,,,,
166,10/22/21 01:40:25 PM,11.82,26.98,,,,,
167,10/22/21 01:41:25 PM,11.78,26.98,,,,,
168,10/22/21 01:42:25 PM,11.74,26.98,,,,,
169,10/22/21 01:43:25 PM,11.73,26.98,,,,,
170,10/22/21 01:44:25 PM,11.67,26.98,,,,,
171,10/22/21 01:45:25 PM,11.65,26.98,,,,,
172,10/22/21 01:46:25 PM,11.60,26.98,,,,,
173,10/22/21 01:47:25 PM,11.60,26.98,,,,,
174,10/22/21 01:48:25 PM,11.54,26.98,,,,,
175,10/22/21 01:49:25 PM,11.87,26.98,,,,,
176,10/22/21 01:50:25 PM,11.81,26.96,,,,,
177,10/22/21 01:51:25 PM,11.92,26.96,,,,,
178,10/22/21 01:52:25 PM,11.89,26.94,,,,,
179,10/22/21 01:53:25 PM,11.87,26.94,,,,,
180,10/22/21 01:54:25 PM,11.87,26.94,,,,,
181,10/22/21 01:55:25 PM,11.83,26.94,,,,,
182,10/22/21 01:56:25 PM,11.87,26.96,,,,,
183,10/22/21 01:57:25 PM,11.87,26.98,,,,,
184,10/22/21 01:58:25 PM,11.85,27.00,,,,,
185,10/22/21 01:59:25 PM,11.94,27.00,,,,,
186,10/22/21 02:00:25 PM,11.91,27.00,,,,,
187,10/22/21 02:01:25 PM,12.00,27.02,,,,,
188,10/22/21 02:02:25 PM,12.02,27.02,,,,,
189,10/22/21 02:03:25 PM,12.04,27.02,,,,,
190,10/22/21 02:04:25 PM,12.04,27.04,,,,,
191,10/22/21 02:05:25 PM,12.12,27.06,,,,,
192,10/22/21 02:06:25 PM,12.19,27.06,,,,,
193,10/22/21 02:07:25 PM,12.16,27.08,,,,,
194,10/22/21 02:08:25 PM,12.20,27.10,,,,,
195,10/22/21 02:09:25 PM,12.24,27.10,,,,,
196,10/22/21 02:10:25 PM,12.29,27.10,,,,,
197,10/22/21 02:11:25 PM,12.36,27.10,,,,,
198,10/22/21 02:12:25 PM,12.41,27.12,,,,,
199,10/22/21 02:13:25 PM,12.41,27.12,,,,,
200,10/22/21 02:14:25 PM,12.50,27.12,,,,,
201,10/22/21 02:15:25 PM,12.50,27.14,,,,,
202,10/22/21 02:16:25 PM,12.59,27.14,,,,,
203,10/22/21 02:17:25 PM,12.62,27.12,,,,,
204,10/22/21 02:18:25 PM,12.61,27.10,,,,,
205,10/22/21 02:19:25 PM,12.55,27.08,,,,,
206,10/22/21 02:20:25 PM,12.56,27.08,,,,,
207,10/22/21 02:21:25 PM,12.49,27.06,,,,,
208,10/22/21 02:22:25 PM,12.50,27.06,,,,,
209,10/22/21 02:23:25 PM,12.42,27.06,,,,,
210,10/22/21 02:24:25 PM,12.38,27.04,,,,,
211,10/22/21 02:25:25 PM,12.26,27.04,,,,,
212,10/22/21 02:26:25 PM,12.30,27.04,,,,,
213,10/22/21 02:27:25 PM,12.24,27.04,,,,,
214,10/22/21 02:28:25 PM,12.18,27.04,,,,,
215,10/22/21 02:29:25 PM,12.14,27.04,,,,,
216,10/22/21 02:30:25 PM,12.10,27.04,,,,,
217,10/22/21 02:31:25 PM,12.12,27.04,,,,,
218,10/22/21 02:32:25 PM,11.48,27.04,,,,,
219,10/22/21 02:33:25 PM,11.40,27.00,,,,,
220,10/22/21 02:34:25 PM,11.26,26.98,,,,,
221,10/22/21 02:35:25 PM,-888.88,-888.88,,,Logged,,
222,10/22/21 02:36:25 PM,11.32,26.98,,,,,
223,10/22/21 02:37:25 PM,-888.88,-888.88,,,Logged,,
224,10/22/21 02:38:25 PM,11.27,27.00,,,,,
225,10/22/21 02:39:25 PM,-888.88,-888.88,,,Logged,,
226,10/22/21 02:40:25 PM,11.25,27.02,,,,,
227,10/22/21 02:41:25 PM,11.32,27.02,,,,,
228,10/22/21 02:42:25 PM,11.27,27.02,,,,,
229,10/22/21 02:43:25 PM,11.33,27.02,,,,,
230,10/22/21 02:44:25 PM,11.37,27.04,,,,,
231,10/22/21 02:45:25 PM,-888.88,-888.88,,,Logged,,
232,10/22/21 02:46:25 PM,11.39,27.04,,,,,
233,10/22/21 02:47:25 PM,11.43,27.04,,,,,
234,10/22/21 02:48:25 PM,11.45,27.04,,,,,
235,10/22/21 02:49:25 PM,11.49,27.02,,,,,
236,10/22/21 02:50:25 PM,11.49,27.00,,,,,
237,10/22/21 02:51:25 PM,11.47,26.98,,,,,
238,10/22/21 02:52:25 PM,11.50,26.98,,,,,
239,10/22/21 02:53:25 PM,11.50,26.96,,,,,
240,10/22/21 02:54:25 PM,11.44,26.96,,,,,
241,10/22/21 02:55:25 PM,11.46,26.94,,,,,
242,10/22/21 02:56:25 PM,11.46,26.94,,,,,
243,10/22/21 02:57:25 PM,11.45,26.94,,,,,
244,10/22/21 02:58:25 PM,11.41,26.94,,,,,
245,10/22/21 02:59:25 PM,11.00,26.94,,,,,
246,10/22/21 03:00:25 PM,10.88,26.90,,,,,
247,10/22/21 03:01:25 PM,10.87,26.88,,,,,
248,10/22/21 03:02:25 PM,10.82,26.86,,,,,
249,10/22/21 03:03:25 PM,10.82,26.86,,,,,
250,10/22/21 03:04:25 PM,8.29,26.84,,,,,
251,10/22/21 03:05:25 PM,7.69,26.76,,,,,
252,10/22/21 03:06:25 PM,7.65,26.62,,,,,
253,10/22/21 03:07:25 PM,7.86,26.72,,,,,
254,10/22/21 03:08:25 PM,7.98,26.92,,,,,
255,10/22/21 03:09:25 PM,7.72,27.16,,,,,
256,10/22/21 03:10:25 PM,7.57,26.98,,,,,
257,10/22/21 03:11:25 PM,7.58,26.72,,,,,
258,10/22/21 03:12:25 PM,7.63,26.58,,,,,
259,10/22/21 03:13:25 PM,7.65,26.48,,,,,
260,10/22/21 03:14:25 PM,7.69,26.38,,,,,
261,10/22/21 03:15:25 PM,7.66,26.30,,,,,
262,10/22/21 03:16:25 PM,7.70,26.20,,,,,
263,10/22/21 03:17:25 PM,7.75,26.12,,,,,
264,10/22/21 03:18:25 PM,7.74,26.06,,,,,
265,10/22/21 03:19:25 PM,7.73,26.00,,,,,
266,10/22/21 03:20:25 PM,7.80,25.92,,,,,
267,10/22/21 03:21:25 PM,7.77,25.86,,,,,
268,10/22/21 03:22:25 PM,7.81,25.80,,,,,
269,10/22/21 03:23:25 PM,7.83,25.74,,,,,
270,10/22/21 03:24:25 PM,7.82,25.68,,,,,
271,10/22/21 03:25:25 PM,7.89,25.58,,,,,
272,10/22/21 03:26:25 PM,7.82,25.48,,,,,
273,10/22/21 03:27:25 PM,7.91,25.96,,,,,
274,10/22/21 03:28:25 PM,7.71,26.16,,,,,
275,10/22/21 03:29:25 PM,7.72,26.02,,,,,
276,10/22/21 03:30:25 PM,7.72,25.92,,,,,
277,10/22/21 03:31:25 PM,7.70,25.82,,,,,
278,10/22/21 03:31:29 PM,,,,Logged,,,
279,10/22/21 03:31:33 PM,,,,,,Logged,Logged
