"Plot Title: 2022_3_22"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21155151, SEN S/N: 21155151)","Temp, °F (LGR S/N: 21155151, SEN S/N: 21155151)","Coupler Detached (LGR S/N: 21155151)","Coupler Attached (LGR S/N: 21155151)","Host Connected (LGR S/N: 21155151)","Stopped (LGR S/N: 21155151)","End Of File (LGR S/N: 21155151)"
70,03/22/22 02:19:48 PM,12.83,80.67,,,,,
71,03/22/22 02:20:48 PM,12.74,80.67,,,,,
72,03/22/22 02:21:48 PM,12.56,80.67,,,,,
73,03/22/22 02:22:48 PM,12.55,80.67,,,,,
74,03/22/22 02:23:48 PM,11.24,80.67,,,,,
75,03/22/22 02:24:48 PM,11.17,80.67,,,,,
76,03/22/22 02:25:48 PM,11.31,80.71,,,,,
77,03/22/22 02:26:48 PM,11.24,80.78,,,,,
78,03/22/22 02:27:48 PM,11.17,80.85,,,,,
79,03/22/22 02:28:48 PM,11.16,80.92,,,,,
80,03/22/22 02:29:48 PM,10.92,81.00,,,,,
81,03/22/22 02:30:48 PM,10.91,81.07,,,,,
82,03/22/22 02:31:48 PM,10.98,81.10,,,,,
83,03/22/22 02:32:48 PM,10.90,81.14,,,,,
84,03/22/22 02:33:48 PM,10.46,81.18,,,,,
85,03/22/22 02:34:48 PM,10.70,81.21,,,,,
86,03/22/22 02:35:48 PM,10.84,81.25,,,,,
87,03/22/22 02:36:48 PM,10.88,81.28,,,,,
88,03/22/22 02:37:48 PM,11.01,81.36,,,,,
89,03/22/22 02:38:48 PM,11.21,81.39,,,,,
90,03/22/22 02:39:48 PM,11.70,81.43,,,,,
91,03/22/22 02:40:48 PM,11.82,81.43,,,,,
92,03/22/22 02:41:48 PM,11.85,81.50,,,,,
93,03/22/22 02:42:48 PM,11.55,81.54,,,,,
94,03/22/22 02:43:48 PM,11.85,81.57,,,,,
95,03/22/22 02:44:48 PM,11.85,81.61,,,,,
96,03/22/22 02:45:48 PM,11.99,81.61,,,,,
97,03/22/22 02:46:48 PM,12.07,81.57,,,,,
98,03/22/22 02:47:48 PM,11.97,81.50,,,,,
99,03/22/22 02:48:48 PM,11.96,81.43,,,,,
100,03/22/22 02:49:48 PM,11.83,81.39,,,,,
101,03/22/22 02:50:48 PM,11.70,81.32,,,,,
102,03/22/22 02:51:48 PM,11.57,81.28,,,,,
103,03/22/22 02:52:48 PM,11.57,81.25,,,,,
104,03/22/22 02:53:48 PM,11.53,81.21,,,,,
105,03/22/22 02:54:48 PM,11.27,81.21,,,,,
106,03/22/22 02:55:48 PM,11.29,81.18,,,,,
107,03/22/22 02:56:48 PM,10.84,81.14,,,,,
108,03/22/22 02:57:48 PM,10.80,81.14,,,,,
109,03/22/22 02:58:48 PM,10.75,81.10,,,,,
110,03/22/22 02:59:48 PM,10.77,81.10,,,,,
111,03/22/22 03:00:48 PM,11.06,81.07,,,,,
112,03/22/22 03:01:48 PM,10.65,81.03,,,,,
113,03/22/22 03:02:48 PM,10.65,80.92,,,,,
114,03/22/22 03:03:48 PM,10.63,80.85,,,,,
115,03/22/22 03:04:48 PM,10.44,80.78,,,,,
116,03/22/22 03:05:48 PM,10.46,80.67,,,,,
117,03/22/22 03:06:48 PM,10.44,80.60,,,,,
118,03/22/22 03:07:48 PM,10.45,80.56,,,,,
119,03/22/22 03:08:48 PM,10.50,80.56,,,,,
120,03/22/22 03:09:48 PM,10.53,80.56,,,,,
121,03/22/22 03:10:48 PM,10.55,80.60,,,,,
122,03/22/22 03:11:48 PM,10.58,80.67,,,,,
123,03/22/22 03:12:48 PM,10.59,80.67,,,,,
124,03/22/22 03:13:48 PM,10.64,80.74,,,,,
125,03/22/22 03:14:48 PM,10.64,80.74,,,,,
126,03/22/22 03:15:48 PM,10.62,80.71,,,,,
127,03/22/22 03:16:48 PM,10.62,80.74,,,,,
128,03/22/22 03:17:48 PM,10.67,80.82,,,,,
129,03/22/22 03:18:48 PM,10.66,80.82,,,,,
130,03/22/22 03:19:48 PM,10.66,80.78,,,,,
131,03/22/22 03:20:48 PM,10.71,80.71,,,,,
132,03/22/22 03:21:48 PM,10.71,80.67,,,,,
133,03/22/22 03:22:48 PM,10.75,80.64,,,,,
134,03/22/22 03:23:48 PM,10.72,80.60,,,,,
135,03/22/22 03:24:48 PM,10.70,80.53,,,,,
136,03/22/22 03:25:48 PM,10.68,80.46,,,,,
137,03/22/22 03:26:48 PM,10.68,80.42,,,,,
138,03/22/22 03:27:48 PM,10.64,80.38,,,,,
139,03/22/22 03:28:48 PM,10.61,80.35,,,,,
140,03/22/22 03:29:48 PM,10.59,80.35,,,,,
141,03/22/22 03:30:48 PM,10.58,80.31,,,,,
142,03/22/22 03:31:48 PM,10.54,80.28,,,,,
143,03/22/22 03:32:48 PM,10.53,80.28,,,,,
144,03/22/22 03:33:48 PM,10.50,80.24,,,,,
145,03/22/22 03:34:48 PM,10.45,80.24,,,,,
146,03/22/22 03:35:48 PM,10.45,80.20,,,,,
147,03/22/22 03:36:48 PM,9.86,80.13,,,,,
148,03/22/22 03:37:48 PM,9.74,80.02,,,,,
149,03/22/22 03:38:48 PM,9.70,79.95,,,,,
150,03/22/22 03:39:48 PM,9.60,79.84,,,,,
151,03/22/22 03:40:48 PM,9.62,79.81,,,,,
152,03/22/22 03:41:48 PM,9.63,79.74,,,,,
153,03/22/22 03:42:48 PM,9.62,79.66,,,,,
154,03/22/22 03:43:48 PM,7.80,79.59,,,,,
155,03/22/22 03:44:48 PM,8.19,79.16,,,,,
156,03/22/22 03:45:48 PM,7.73,78.76,,,,,
157,03/22/22 03:46:48 PM,7.95,78.30,,,,,
158,03/22/22 03:47:48 PM,8.07,77.83,,,,,
159,03/22/22 03:48:48 PM,8.21,77.50,,,,,
160,03/22/22 03:49:48 PM,8.18,77.25,,,,,
161,03/22/22 03:50:48 PM,8.21,76.96,,,,,
162,03/22/22 03:51:48 PM,8.23,76.75,,,,,
163,03/22/22 03:52:48 PM,8.22,76.64,,,,,
164,03/22/22 03:53:48 PM,8.24,76.53,,,,,
165,03/22/22 03:54:48 PM,8.26,76.50,,,,,
166,03/22/22 03:55:48 PM,8.26,76.46,,,,,
167,03/22/22 03:56:48 PM,8.26,76.42,,,,,
168,03/22/22 03:57:48 PM,8.26,76.42,,,,,
169,03/22/22 03:58:48 PM,8.25,76.39,,,,,
170,03/22/22 03:59:48 PM,8.27,76.35,,,,,
171,03/22/22 04:00:48 PM,8.27,76.35,,,,,
172,03/22/22 04:01:48 PM,8.27,76.35,,,,,
173,03/22/22 04:02:48 PM,8.27,76.32,,,,,
174,03/22/22 04:03:48 PM,8.27,76.32,,,,,
175,03/22/22 04:04:48 PM,8.27,76.28,,,,,
176,03/22/22 04:05:48 PM,8.27,76.28,,,,,
177,03/22/22 04:06:48 PM,8.29,76.28,,,,,
178,03/22/22 04:07:48 PM,8.26,76.32,,,,,
179,03/22/22 04:08:48 PM,8.26,76.32,,,,,
180,03/22/22 04:09:48 PM,8.26,76.28,,,,,
181,03/22/22 04:10:48 PM,8.24,76.24,,,,,
182,03/22/22 04:11:48 PM,8.26,76.21,,,,,
183,03/22/22 04:12:48 PM,8.26,76.17,,,,,
184,03/22/22 04:13:48 PM,8.10,76.10,,,,,
185,03/22/22 04:14:48 PM,8.20,75.56,,,,,
186,03/22/22 04:15:48 PM,8.29,75.06,,,,,
187,03/22/22 04:16:48 PM,8.31,74.59,,,,,
188,03/22/22 04:17:48 PM,8.37,74.16,,,,,
189,03/22/22 04:18:48 PM,8.38,73.80,,,,,
190,03/22/22 04:19:48 PM,8.44,73.47,,,,,
191,03/22/22 04:20:48 PM,8.47,73.18,,,,,
192,03/22/22 04:21:48 PM,8.49,72.93,,,,,
193,03/22/22 04:22:48 PM,8.53,72.68,,,,,
194,03/22/22 04:23:48 PM,8.52,72.75,,,,,
195,03/22/22 04:24:48 PM,8.47,72.93,,,,,
196,03/22/22 04:25:48 PM,8.48,72.86,,,,,
197,03/22/22 04:26:48 PM,8.53,72.75,,,,,
198,03/22/22 04:27:48 PM,8.51,72.72,,,,,
199,03/22/22 04:28:48 PM,8.55,72.64,,,,,
200,03/22/22 04:28:57 PM,,,,Logged,,,
201,03/22/22 04:28:58 PM,,,,,Logged,,
202,03/22/22 04:29:00 PM,,,,,,Logged,Logged
