site,region,date,successful,location,description,dominant,depth,lat,long,notes,,
site20,GBR,28/10/2024,y,Casuarina,A. sarmentosa,Acropora,2.2,-14.675692,145.445678,overcast. Original PS . start 15.01,,
site21,GBR,28/10/2024,y,Casuarina,Folio-soft,Soft coral,2.1,-14.675692,145.445678,overcast Psend 15:51,,
site22,GBR,28/10/2024,y,Casuarina,Soft coral,Soft coral,2.2,-14.675692,145.445678,overcast Original PS start 14:55:00,,
site23,GBR,29/10/2024,y,Watsons,white poc,Pocillopora,3,-14.666936,145.445548,milky,,
site24,GBR,29/10/2024,y,Watsons,dead poc,Turf_dead,3,-14.666936,145.445548,,,
site25,GBR,29/10/2024,y,Watsons,sandy porites,Porites,3,-14.666936,145.445548,,,
site26,GBR,29/10/2024,y,Casuarina,soft x 2,Soft coral,1.8,-14.675525,145.445489,overcast,,
site27,GBR,29/10/2024,y,Casuarina,seagrass,Seagrass,1.8,-14.675525,145.445489,overcast,,
site28,GBR,29/10/2024,y,Casuarina,tiny poc,Pocillopora,1.8,-14.675525,145.445489,overcast,,
site29,GBR,31/10/2024,y,Mermaids Cove,SC reef,Soft coral,1.8,-14.64789,145.454171,,,
site30,GBR,31/10/2024,y,Mermaids Cove,juvy acro,Turf_dead,1.8,-14.64789,145.454171,Original Rstart 10:49-11:16,,
site31,GBR,31/10/2024,y,Mermaids Cove,dead stag,Turf_dead,1.8,-14.64789,145.454171,11:10-11:23 PS,,
site32,GBR,31/10/2024,y,Mermaids Cove,pori SC shallow,Porites,1.8,-14.64789,145.454171,11:52 PS seal,,
site33,GBR,31/10/2024,y,Mermaids Cove,baby pori,Porites,1.8,-14.64789,145.454171,11:51 PS seal,,
site34,GBR,31/10/2024,y,Mermaids Cove,pori deep,Porites,1.8,-14.64789,145.454171,,,
site35,GBR,01/11/2024,y,Sterlings patch,branching pori,Branching_other,2,-14.686816,145.457621,,,
site36,GBR,01/11/2024,y,Sterlings patch,mass por,Porites,2,-14.686816,145.457621,11:42 R end,,
site37,GBR,01/11/2024,y,Sterlings patch,monti branch,Branching_other,2,-14.686816,145.457621,,,
site38,GBR,01/11/2024,y,Sterlings patch,favi medium,Mound_other,2,-14.686816,145.457621,,,
site39,GBR,01/11/2024,y,Sterlings patch,favi small,Mound_other,2,-14.686816,145.457621,,,
site40,GBR,01/11/2024,y,Sterlings patch,softy,Soft coral,2,-14.686816,145.457621,starfish/cucumber,,
site41,GBR,02/11/2024,y,exposed lagoon,big iso,Acropora,2.2,-14.696617,145.457444,short R because of bag problem. 11.05 original start,,
site42,GBR,02/11/2024,y,exposed lagoon,small iso,Acropora,2.2,-14.696617,145.457444,very wavy. light loggers lost,,use site41 light
site43,GBR,02/11/2024,y,exposed lagoon,small stag,Acropora,2.2,-14.696617,145.457444,PS seal 10.40,,
site44,GBR,02/11/2024,y,exposed lagoon,large stag,Acropora,2.2,-14.696617,145.457444,,,
site45,GBR,03/11/2024,y,casuarina,table coral,Acropora,2.1,-14.676276,145.446331,overcast. Dive computer time,,
site46,GBR,03/11/2024,y,casuarina,tiny pori,Porites,2.1,-14.676276,145.446331,11.13PS_OG overcast. Dive computer time,,
site47,GBR,03/11/2024,y,casuarina,sarmentosa L,Acropora,2.1,-14.676276,145.446331,overcast. Dive computer time,,
site45_swap,GBR,03/11/2024,y,casuarina,table coral,Acropora,2.1,-14.676276,145.446331,PS 10:40. repeated with different chamber,,
site46_swap,GBR,03/11/2024,y,casuarina,tiny pori,Porites,2.1,-14.676276,145.446331,PS. 10:41 repeated with different chamber,,
site47_swap,GBR,03/11/2024,y,casuarina,sarmentosa L,Acropora,2.1,-14.676276,145.446331,repeated with different chamber,,
site48,GBR,05/11/2024,y,casuarina,acro_algae,Acropora,1.8,-14.676215,145.4463,overcast,,
site49,GBR,05/11/2024,y,casuarina,pori_algae,Porites,1.8,-14.676215,145.4463,resp with pump on P2!,,
site48_pump,GBR,05/11/2024,y,casuarina,acro_algae,Acropora,1.8,-14.676215,145.4463,Pump on P1 only,,
site49_pump,GBR,05/11/2024,y,casuarina,pori_algae,Porites,1.8,-14.676215,145.4463,Pump on P2 only,,
site50,GBR,06/11/2024,y,casuarina,soft x2 again,Soft coral,1.8,-14.674138,145.444873,resp with pump on P3,,
site51,GBR,06/11/2024,y,casuarina,seagrass 2,Seagrass,1.8,-14.674138,145.444873,,,
site52,GBR,06/11/2024,y,casuarina,baby pver,Pocillopora,1.8,-14.674138,145.444873,,,
site53,GBR,06/11/2024,y,casuarina,seagrass 3,Seagrass,1.8,-14.674138,145.444873,,,
site50_pump,GBR,06/11/2024,y,casuarina,soft x2 again,Soft coral,1.8,-14.674138,145.444873,pump on p3 only,,
site52_pump,GBR,06/11/2024,y,casuarina,baby pver,Pocillopora,1.8,-14.674138,145.444873,pump on p4 only,,
site54,GBR,08/11/2024,y,horseshoe,Acro_fish,Acropora,1.2,-14.686144,145.444166,,,
site55,GBR,08/11/2024,y,horseshoe,big_poc,Pocillopora,1.2,-14.686144,145.444166,,,
site56,GBR,08/11/2024,y,horseshoe,big_soft,Soft coral,1.2,-14.686144,145.444166,,,
site54_swap,GBR,08/11/2024,y,horseshoe,Acro_fish,Acropora,1.2,-14.686144,145.444166,,,
site55_swap,GBR,08/11/2024,y,horseshoe,big_poc,Pocillopora,1.2,-14.686144,145.444166,,,
site56_swap,GBR,08/11/2024,y,horseshoe,big_soft,Soft coral,1.2,-14.686144,145.444166,,,
site57,GBR,08/11/2024,y,Casuarina,sarm_clean,Acropora,1.8,-14.674138,145.444873,,,
site58,GBR,08/11/2024,y,Casuarina,sarm_big,Acropora,1.8,-14.674138,145.444873,,,
site59,GBR,08/11/2024,y,Casuarina,sarm_alg,Acropora,1.8,-14.674138,145.444873,,,
site60,GBR,09/11/2024,y,horseshoe,Amillepora,Acropora,1.2,-14.686144,145.444166,,,
site61,GBR,09/11/2024,y,horseshoe,dead stag,Turf_dead,1.2,-14.686144,145.444166,,,
site62,GBR,09/11/2024,y,horseshoe,mid poc,Pocillopora,1.2,-14.686144,145.444166,10:26 seal,,
site63,GBR,09/11/2024,y,horseshoe,mid pori,Porites,1.2,-14.686144,145.444166,R_OG 11.13,,
sand01,GBR,09/11/2024,y,horseshoe,sand,Sand,1.2,-14.686144,145.444166,,,
site64,GBR,10/11/2024,y,Mermaids Cove,poc patch,Pocillopora,2.4,-14.64789,145.454171,10:51 start but cloudy,,
site65,GBR,10/11/2024,y,Mermaids Cove,blue stag,Acropora,2.4,-14.64789,145.454171,,,
site66,GBR,10/11/2024,y,Mermaids Cove,soft patch,Soft coral,1.8,-14.64789,145.454171,milky at start,,
site67,GBR,10/11/2024,y,Mermaids Cove,dead stag long,Turf_dead,2.4,-14.64789,145.454171,milky 12:22 R end,,
site64_pump,GBR,10/11/2024,y,Mermaids Cove,poc patch,Pocillopora,2.4,-14.64789,145.454171,pump on P3 only,,
site66_pump,GBR,10/11/2024,y,Mermaids Cove,soft patch,Soft coral,1.8,-14.64789,145.454171,pump on P2 only,,
site68,GBR,11/11/2024,y,Casuarina,goni lobes,Mound_other,1.2,-14.676567,145.444969,overcast,,
site69,GBR,11/11/2024,y,Casuarina,small goni,Mound_other,1.2,-14.676567,145.444969,,,
site70,GBR,11/11/2024,y,Casuarina,algae patch,Turf_dead,1.2,-14.676567,145.444969,12:21:00 PS OG,,
sand02,GBR,11/11/2024,y,Casuarina,sand,Sand,1.2,-14.676567,145.444969,,,
site68_pump,GBR,11/11/2024,y,Casuarina,goni lobes,Mound_other,1.2,-14.676567,145.444969,,,
site70_pump,GBR,11/11/2024,y,Casuarina,algae patch,Turf_dead,1.2,-14.676567,145.444969,,,
hi01,Hawaii,09/24/2021,y,kbay_A,porites,P. compressa,1m,21.43287,-157.790834,,,
hi02,Hawaii,09/24/2021,y,kbay_A,monti,M. capitata,1m,21.436618,-157.78742,,,
hi03,Hawaii,09/24/2021,y,kbay_A,pdam,P. damicornis,1m,21.436618,-157.78742,,,
hi04,Hawaii,09/24/2021,y,kbay_A,small_monti,M. capitata,1m,21.436618,-157.78742,,,
hi05,Hawaii,09/28/2021,y,kbay_A,por_mont,P. compressa,1m,21.436618,-157.78742,,,
hi06,Hawaii,09/28/2021,y,kbay_A,monti_spire,M. capitata,1m,21.436618,-157.78742,,,
hi07,Hawaii,09/28/2021,y,kbay_A,monti_dense,M. capitata,1m,21.436618,-157.78742,,,
hi08,Hawaii,10/01/2021,y,kbay_A,comp_mound,P. compressa,1m,21.436618,-157.78742,,,
hi09,Hawaii,10/01/2021,y,kbay_A,small_pdam,P. damicornis,1m,21.436618,-157.78742,,,
hi10,Hawaii,10/01/2021,maybe,kbay_A,small_por,P. compressa,1m,21.436618,-157.78742,,,
hi11,Hawaii,10/05/2021,y,kbay_A,bare_lept,Rock/Turf,1m,21.436618,-157.78742,,,
hi12,Hawaii,10/05/2021,y,kbay_A,brown_mont,M. capitata,1m,21.436618,-157.78742,,,
hi13,Hawaii,10/22/2021,y,kbay_A,por_poc,P. compressa,1m,21.436618,-157.78742,,,
hi14,Hawaii,10/22/2021,y,kbay_A,poc_med1,P. damicornis,1m,21.433847,-157.786666,,,
hi15,Hawaii,10/22/2021,y,kbay_A,mont_poc,M. capitata,1m,21.433714,-157.786531,,,
hi16,Hawaii,10/22/2021,y,kbay_A,poc_med2,P. damicornis,1m,21.436618,-157.78742,,,
hi17,Hawaii,10/22/2021,y,kbay_A,fungid,Lobactis,1m,21.436618,-157.78742,,,
hi18,Hawaii,11/15/2021,y,kbay_B,mcap_sand,M. capitata,1m,21.436618,-157.78742,,,
hi19,Hawaii,11/17/2021,y,kbay_B,thin_por,P. compressa,1m,21.436618,-157.78742,,,
hi20,Hawaii,11/17/2021,maybe,kbay_B,brown_mcap2,M. capitata,1m,21.436618,-157.78742,,,
hi21,Hawaii,11/17/2021,Flat_resp,kbay_B,thin_mcap,M. capitata,1m,21.436618,-157.78742,,,
hi22,Hawaii,11/17/2021,flat,kbay_C,column_mcao,M. capitata,1m,21.436618,-157.78742,,,
hi22b,Hawaii,11/21/2021,flat_ps,kbay_C,column_mcao,M. capitata,1m,21.434656,-157.786682,,,
hi23,Hawaii,11/17/2021,maybe,kbay_C,fluffy_por,M. capitata,1m,21.436618,-157.78742,,,
hi24,Hawaii,11/17/2021,flat_ps.PosR,kbay_C,flat_monti,M. capitata,1m,21.436618,-157.78742,,,
hi24b,Hawaii,11/21/2021,same,kbay_C,flat_monti,M. capitata,1m,21.436618,-157.78742,,,
hi25,Hawaii,11/17/2021,pos.R,kbay_C,big_por,P. compressa,1m,21.435676,-157.786931,,,
hi25b,Hawaii,11/21/2021,maybe,kbay_C,big_por,P. compressa,1m,21.436618,-157.78742,,,
hi25c,Hawaii,11/21/2021,messyPS,kbay_C,big_por,P. compressa,1m,21.434722,-157.787016,,,
hi26,Hawaii,11/21/2021,lumpy,kbay_C,double_por,P. compressa,1m,21.436618,-157.78742,,,
hi27,Hawaii,11/24/2021,no_3Ddata,kbay_A,por_pdam,P. compressa,1m,21.436618,-157.78742,,,
hi28,Hawaii,11/24/2021,no_3Ddata,kbay_A,pdam_rock,P. damicornis,1m,21.434683,-157.786931,,,
hi29,Hawaii,11/24/2021,no_3Ddata,kbay_A,bulky_mcap,M. capitata,1m,21.436618,-157.78742,,,
hi30,Hawaii,03/21/2022,y,kbay_A,lagoon_pcom,P. compressa,2m,21.436618,-157.78742,,,
hi31,Hawaii,03/21/2022,y,kbay_A,lagoon_mcap,M. capitata,2m,21.436618,-157.78742,,,
hi32,Hawaii,03/21/2022,y,kbay_A,large_pcom,P. compressa,1m,21.434542,-157.786644,,,
hi33,Hawaii,03/21/2022,y,kbay_A,pdam_rock2,P. damicornis,1m,21.436618,-157.78742,,,
hi34,Hawaii,03/22/2022,y,kbay_A,pcom_round,P. compressa,1m,21.436618,-157.78742,,,
hi35,Hawaii,03/22/2022,y,kbay_A,pcom_med,P. compressa,1m,21.436869,-157.787842,,,
hi36,Hawaii,03/22/2022,y,kbay_A,rock,Rock/Turf,1m,21.43273,-157.790007,,,
