"Plot Title: oxy4"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981784, SEN S/N: 21981784)","Temp, °C (LGR S/N: 21981784, SEN S/N: 21981784)","New Sensor Cap (LGR S/N: 21981784)","Coupler Detached (LGR S/N: 21981784)","Coupler Attached (LGR S/N: 21981784)","Host Connected (LGR S/N: 21981784)","Stopped (LGR S/N: 21981784)","End Of File (LGR S/N: 21981784)"
92,10/23/24 11:41:26 AM,7.14,30.96,,,,,,
93,10/23/24 11:42:26 AM,7.16,31.00,,,,,,
94,10/23/24 11:43:26 AM,7.15,31.04,,,,,,
95,10/23/24 11:44:26 AM,7.14,31.06,,,,,,
96,10/23/24 11:45:26 AM,7.14,31.08,,,,,,
97,10/23/24 11:46:26 AM,7.06,31.14,,,,,,
98,10/23/24 11:47:26 AM,7.05,31.24,,,,,,
99,10/23/24 11:48:26 AM,7.05,31.30,,,,,,
100,10/23/24 11:49:26 AM,7.04,31.34,,,,,,
101,10/23/24 11:50:26 AM,7.06,31.34,,,,,,
102,10/23/24 11:51:26 AM,7.05,31.36,,,,,,
103,10/23/24 11:52:26 AM,7.06,31.36,,,,,,
104,10/23/24 11:53:26 AM,7.06,31.34,,,,,,
105,10/23/24 11:54:26 AM,7.07,31.32,,,,,,
106,10/23/24 11:55:26 AM,7.06,31.30,,,,,,
107,10/23/24 11:56:26 AM,7.06,31.26,,,,,,
108,10/23/24 11:57:26 AM,7.05,31.22,,,,,,
109,10/23/24 11:58:26 AM,7.05,31.24,,,,,,
110,10/23/24 11:59:26 AM,7.10,31.26,,,,,,
111,10/23/24 12:00:26 PM,7.18,31.24,,,,,,
112,10/23/24 12:01:26 PM,7.19,31.24,,,,,,
113,10/23/24 12:02:26 PM,7.25,31.24,,,,,,
114,10/23/24 12:03:26 PM,7.31,31.24,,,,,,
115,10/23/24 12:04:26 PM,7.36,31.24,,,,,,
116,10/23/24 12:05:26 PM,7.36,31.26,,,,,,
117,10/23/24 12:06:26 PM,7.38,31.30,,,,,,
118,10/23/24 12:07:26 PM,7.43,31.38,,,,,,
119,10/23/24 12:08:26 PM,7.38,31.54,,,,,,
120,10/23/24 12:09:26 PM,7.17,31.74,,,,,,
121,10/23/24 12:10:26 PM,7.07,32.38,,,,,,
122,10/23/24 12:11:26 PM,6.86,33.56,,,,,,
123,10/23/24 12:12:26 PM,6.65,34.64,,,,,,
124,10/23/24 12:13:26 PM,6.51,35.18,,,,,,
125,10/23/24 12:14:26 PM,6.43,35.44,,,,,,
126,10/23/24 12:15:26 PM,6.34,35.92,,,,,,
127,10/23/24 12:16:26 PM,6.25,36.52,,,,,,
128,10/23/24 12:17:26 PM,6.12,37.28,,,,,,
129,10/23/24 12:18:26 PM,6.06,37.70,,,,,,
130,10/23/24 12:19:26 PM,6.04,38.14,,,,,,
131,10/23/24 12:20:26 PM,5.92,38.60,,,,,,
132,10/23/24 12:21:26 PM,5.29,37.88,,,,,,
133,10/23/24 12:22:26 PM,5.68,35.26,,,,,,
134,10/23/24 12:23:26 PM,5.94,33.50,,,,,,
135,10/23/24 12:24:26 PM,6.25,32.00,,,,,,
136,10/23/24 12:25:26 PM,6.48,30.96,,,,,,
137,10/23/24 12:26:26 PM,6.59,30.24,,,,,,
138,10/23/24 12:27:26 PM,6.74,29.68,,,,,,
139,10/23/24 12:28:26 PM,6.85,29.26,,,,,,
140,10/23/24 12:29:26 PM,6.92,28.94,,,,,,
141,10/23/24 12:30:26 PM,6.96,28.68,,,,,,
142,10/23/24 12:31:26 PM,7.02,28.48,,,,,,
143,10/23/24 12:32:26 PM,7.08,28.30,,,,,,
144,10/23/24 12:33:26 PM,7.09,28.16,,,,,,
145,10/23/24 12:34:26 PM,7.13,28.06,,,,,,
146,10/23/24 12:35:26 PM,7.18,27.98,,,,,,
147,10/23/24 12:36:26 PM,7.27,27.92,,,,,,
148,10/23/24 12:37:26 PM,7.31,27.86,,,,,,
149,10/23/24 12:38:26 PM,7.36,27.82,,,,,,
150,10/23/24 12:39:26 PM,7.41,27.78,,,,,,
151,10/23/24 12:40:26 PM,7.47,27.76,,,,,,
152,10/23/24 12:41:26 PM,7.55,27.74,,,,,,
153,10/23/24 12:42:26 PM,7.61,27.72,,,,,,
154,10/23/24 12:43:26 PM,7.66,27.70,,,,,,
155,10/23/24 12:44:26 PM,7.76,27.70,,,,,,
156,10/23/24 12:45:26 PM,7.87,27.68,,,,,,
157,10/23/24 12:46:26 PM,7.79,27.68,,,,,,
158,10/23/24 12:47:26 PM,7.81,27.68,,,,,,
159,10/23/24 12:48:26 PM,7.86,27.68,,,,,,
160,10/23/24 12:49:26 PM,7.91,27.68,,,,,,
161,10/23/24 12:50:26 PM,7.96,27.68,,,,,,
162,10/23/24 12:51:26 PM,7.92,27.70,,,,,,
163,10/23/24 12:52:26 PM,7.94,27.70,,,,,,
164,10/23/24 12:53:26 PM,8.00,27.70,,,,,,
165,10/23/24 12:54:26 PM,8.08,27.70,,,,,,
166,10/23/24 12:55:26 PM,8.17,27.72,,,,,,
167,10/23/24 12:56:26 PM,8.22,27.72,,,,,,
168,10/23/24 12:57:26 PM,8.24,27.72,,,,,,
169,10/23/24 12:58:26 PM,7.61,27.72,,,,,,
170,10/23/24 12:59:26 PM,7.67,27.72,,,,,,
171,10/23/24 01:00:26 PM,7.70,27.74,,,,,,
172,10/23/24 01:01:26 PM,7.83,27.74,,,,,,
173,10/23/24 01:02:26 PM,7.87,27.72,,,,,,
174,10/23/24 01:03:26 PM,7.86,27.70,,,,,,
175,10/23/24 01:04:26 PM,7.85,27.68,,,,,,
176,10/23/24 01:05:26 PM,7.83,27.66,,,,,,
177,10/23/24 01:06:26 PM,7.79,27.64,,,,,,
178,10/23/24 01:07:26 PM,7.75,27.64,,,,,,
179,10/23/24 01:08:26 PM,7.75,27.64,,,,,,
180,10/23/24 01:09:26 PM,7.74,27.62,,,,,,
181,10/23/24 01:10:26 PM,7.76,27.62,,,,,,
182,10/23/24 01:11:26 PM,7.70,27.62,,,,,,
183,10/23/24 01:12:26 PM,7.70,27.62,,,,,,
184,10/23/24 01:13:26 PM,7.63,27.62,,,,,,
185,10/23/24 01:14:26 PM,7.64,27.62,,,,,,
186,10/23/24 01:15:26 PM,7.62,27.62,,,,,,
187,10/23/24 01:16:26 PM,7.62,27.62,,,,,,
188,10/23/24 01:17:26 PM,7.55,27.62,,,,,,
189,10/23/24 01:18:26 PM,7.56,27.62,,,,,,
190,10/23/24 01:19:26 PM,7.49,27.62,,,,,,
191,10/23/24 01:20:26 PM,7.48,27.64,,,,,,
192,10/23/24 01:21:26 PM,7.45,27.64,,,,,,
193,10/23/24 01:22:26 PM,7.43,27.64,,,,,,
194,10/23/24 01:23:26 PM,7.41,27.64,,,,,,
195,10/23/24 01:24:26 PM,7.40,27.64,,,,,,
196,10/23/24 01:25:26 PM,7.39,27.64,,,,,,
197,10/23/24 01:26:26 PM,7.40,27.66,,,,,,
198,10/23/24 01:27:26 PM,7.34,27.66,,,,,,
199,10/23/24 01:28:26 PM,7.29,27.66,,,,,,
200,10/23/24 01:29:26 PM,7.28,27.66,,,,,,
201,10/23/24 01:30:26 PM,7.23,27.66,,,,,,
202,10/23/24 01:31:26 PM,7.23,27.66,,,,,,
203,10/23/24 01:32:26 PM,7.86,27.68,,,,,,
204,10/23/24 01:33:26 PM,7.94,27.68,,,,,,
205,10/23/24 01:34:26 PM,7.35,27.78,,,,,,
206,10/23/24 01:35:26 PM,7.15,28.98,,,,,,
207,10/23/24 01:36:26 PM,6.84,30.66,,,,,,
208,10/23/24 01:37:26 PM,6.60,32.14,,,,,,
209,10/23/24 01:38:26 PM,6.46,33.10,,,,,,
210,10/23/24 01:39:26 PM,6.47,33.18,,,,,,
211,10/23/24 01:40:26 PM,6.56,33.08,,,,,,
212,10/23/24 01:41:26 PM,6.62,32.96,,,,,,
213,10/23/24 01:42:26 PM,6.66,32.80,,,,,,
214,10/23/24 01:43:26 PM,6.72,32.60,,,,,,
215,10/23/24 01:44:26 PM,6.75,32.46,,,,,,
216,10/23/24 01:45:26 PM,6.79,32.36,,,,,,
217,10/23/24 01:46:26 PM,6.80,32.32,,,,,,
218,10/23/24 01:47:26 PM,6.78,32.34,,,,,,
219,10/23/24 01:48:26 PM,6.73,32.30,,,,,,
220,10/23/24 01:49:26 PM,6.75,32.24,,,,,,
221,10/23/24 01:50:26 PM,6.74,32.18,,,,,,
222,10/23/24 01:51:26 PM,6.74,32.14,,,,,,
223,10/23/24 01:52:26 PM,6.74,32.06,,,,,,
224,10/23/24 01:53:26 PM,6.80,31.92,,,,,,
225,10/23/24 01:54:26 PM,6.83,31.88,,,,,,
226,10/23/24 01:55:26 PM,6.80,31.86,,,,,,
227,10/23/24 01:56:26 PM,6.81,31.84,,,,,,
228,10/23/24 01:57:26 PM,6.80,31.84,,,,,,
229,10/23/24 01:58:26 PM,6.83,31.82,,,,,,
230,10/23/24 01:59:26 PM,6.82,31.82,,,,,,
231,10/23/24 02:00:26 PM,6.80,31.80,,,,,,
232,10/23/24 02:01:26 PM,6.83,31.78,,,,,,
233,10/23/24 02:02:26 PM,6.82,31.76,,,,,,
234,10/23/24 02:03:26 PM,6.81,31.72,,,,,,
235,10/23/24 02:04:26 PM,5.44,31.68,,,,,,
236,10/23/24 02:05:26 PM,5.48,31.50,,,,,,
237,10/23/24 02:06:26 PM,5.52,31.32,,,,,,
238,10/23/24 02:07:26 PM,5.56,31.16,,,,,,
239,10/23/24 02:08:26 PM,5.59,31.02,,,,,,
240,10/23/24 02:09:26 PM,5.60,30.88,,,,,,
241,10/23/24 02:10:26 PM,5.59,30.76,,,,,,
242,10/23/24 02:11:26 PM,5.61,30.64,,,,,,
243,10/23/24 02:12:26 PM,5.63,30.54,,,,,,
244,10/23/24 02:13:26 PM,5.65,30.46,,,,,,
245,10/23/24 02:14:26 PM,5.67,30.38,,,,,,
246,10/23/24 02:15:26 PM,5.68,30.30,,,,,,
247,10/23/24 02:16:26 PM,5.68,30.24,,,,,,
248,10/23/24 02:17:26 PM,5.70,30.18,,,,,,
249,10/23/24 02:18:26 PM,5.70,30.14,,,,,,
250,10/23/24 02:19:26 PM,5.71,30.08,,,,,,
251,10/23/24 02:20:26 PM,5.72,30.04,,,,,,
252,10/23/24 02:21:26 PM,5.73,29.98,,,,,,
253,10/23/24 02:22:26 PM,5.73,29.94,,,,,,
254,10/23/24 02:23:26 PM,5.74,29.90,,,,,,
255,10/23/24 02:24:26 PM,6.55,29.84,,,,,,
256,10/23/24 02:25:26 PM,6.84,29.64,,,,,,
257,10/23/24 02:26:26 PM,6.92,29.42,,,,,,
258,10/23/24 02:27:26 PM,6.94,29.24,,,,,,
259,10/23/24 02:28:26 PM,6.93,29.06,,,,,,
260,10/23/24 02:29:08 PM,,,,,Logged,,,
261,10/23/24 02:29:09 PM,,,,,,Logged,Logged,Logged
