"Plot Title: oxy3"
"#","Date Time, GMT+11:00","DO conc, mg/L (LGR S/N: 21981785, SEN S/N: 21981785)","Temp, °C (LGR S/N: 21981785, SEN S/N: 21981785)","Coupler Detached (LGR S/N: 21981785)","Coupler Attached (LGR S/N: 21981785)","Host Connected (LGR S/N: 21981785)","Sensor Data Error (LGR S/N: 21981785)","Stopped (LGR S/N: 21981785)","End Of File (LGR S/N: 21981785)"
161,10/24/24 12:26:49 PM,8.19,27.38,,,,,,
162,10/24/24 12:27:49 PM,8.20,27.38,,,,,,
163,10/24/24 12:28:49 PM,8.19,27.40,,,,,,
164,10/24/24 12:29:49 PM,7.37,27.36,,,,,,
165,10/24/24 12:30:49 PM,7.14,28.52,,,,,,
166,10/24/24 12:31:49 PM,6.96,29.68,,,,,,
167,10/24/24 12:32:49 PM,6.85,30.72,,,,,,
168,10/24/24 12:33:49 PM,6.77,31.54,,,,,,
169,10/24/24 12:34:49 PM,6.73,32.08,,,,,,
170,10/24/24 12:35:49 PM,6.77,32.32,,,,,,
171,10/24/24 12:36:49 PM,6.89,32.38,,,,,,
172,10/24/24 12:37:49 PM,6.82,32.66,,,,,,
173,10/24/24 12:38:49 PM,6.69,33.16,,,,,,
174,10/24/24 12:39:49 PM,6.62,33.60,,,,,,
175,10/24/24 12:40:49 PM,6.62,34.00,,,,,,
176,10/24/24 12:41:49 PM,6.62,33.96,,,,,,
177,10/24/24 12:42:49 PM,6.63,34.20,,,,,,
178,10/24/24 12:43:49 PM,6.62,34.70,,,,,,
179,10/24/24 12:44:49 PM,6.61,34.92,,,,,,
180,10/24/24 12:45:49 PM,6.53,35.32,,,,,,
181,10/24/24 12:46:49 PM,6.62,35.48,,,,,,
182,10/24/24 12:47:49 PM,6.69,35.48,,,,,,
183,10/24/24 12:48:49 PM,6.67,35.60,,,,,,
184,10/24/24 12:49:49 PM,6.68,35.80,,,,,,
185,10/24/24 12:50:49 PM,6.62,36.18,,,,,,
186,10/24/24 12:51:49 PM,6.59,36.50,,,,,,
187,10/24/24 12:52:49 PM,6.57,36.10,,,,,,
188,10/24/24 12:53:49 PM,6.60,35.76,,,,,,
189,10/24/24 12:54:49 PM,6.61,35.58,,,,,,
190,10/24/24 12:55:49 PM,6.59,35.44,,,,,,
191,10/24/24 12:56:49 PM,6.61,35.36,,,,,,
192,10/24/24 12:57:49 PM,6.61,35.30,,,,,,
193,10/24/24 12:58:49 PM,6.56,35.22,,,,,,
194,10/24/24 12:59:49 PM,6.55,35.18,,,,,,
195,10/24/24 01:00:49 PM,6.54,35.26,,,,,,
196,10/24/24 01:01:49 PM,6.55,35.34,,,,,,
197,10/24/24 01:02:49 PM,6.63,35.46,,,,,,
198,10/24/24 01:03:49 PM,6.53,35.58,,,,,,
199,10/24/24 01:04:49 PM,6.53,35.66,,,,,,
200,10/24/24 01:05:49 PM,6.46,35.74,,,,,,
201,10/24/24 01:06:49 PM,6.41,35.78,,,,,,
202,10/24/24 01:07:49 PM,6.35,35.82,,,,,,
203,10/24/24 01:08:49 PM,6.31,35.84,,,,,,
204,10/24/24 01:09:49 PM,6.27,35.84,,,,,,
205,10/24/24 01:10:49 PM,5.09,34.80,,,,,,
206,10/24/24 01:11:49 PM,5.47,33.48,,,,,,
207,10/24/24 01:12:49 PM,5.66,32.86,,,,,,
208,10/24/24 01:13:49 PM,5.84,32.36,,,,,,
209,10/24/24 01:14:49 PM,5.96,32.00,,,,,,
210,10/24/24 01:15:49 PM,6.06,31.68,,,,,,
211,10/24/24 01:16:49 PM,6.14,31.44,,,,,,
212,10/24/24 01:17:49 PM,6.53,31.20,,,,,,
213,10/24/24 01:18:49 PM,6.51,30.84,,,,,,
214,10/24/24 01:19:49 PM,6.50,30.54,,,,,,
215,10/24/24 01:20:49 PM,6.52,30.24,,,,,,
216,10/24/24 01:21:49 PM,6.57,29.98,,,,,,
217,10/24/24 01:22:49 PM,6.58,29.72,,,,,,
218,10/24/24 01:23:49 PM,6.61,29.48,,,,,,
219,10/24/24 01:24:49 PM,6.65,29.24,,,,,,
220,10/24/24 01:25:49 PM,6.65,29.00,,,,,,
221,10/24/24 01:26:40 PM,,,,Logged,,,,
222,10/24/24 01:26:41 PM,,,,,Logged,,,
223,10/24/24 01:26:49 PM,6.63,28.80,,,,,,
224,10/24/24 01:27:05 PM,,,,,,,Logged,Logged
